index,basin_id,basin,river_id,river,total_length,length_peru,source_place_id,source_place,source_altitude,mouth_place_id,mouth_place,mouth-altitude
18,0.5,Pacific,18,Quebrada Honda,82.41,82.41,23,Tacna,2875,23,Tacna,27
20,0.5,Pacific,20,Quebrada Honda,58.62,58.62,23,Tacna,1465,23,Tacna,124
21,0.5,Pacific,21,Quebrada Hospicio,79.87,79.87,23,Tacna,4012,23,Tacna,11
34,0.5,Pacific,34,Quebrada Las Cajas,66.46,66.46,23,Tacna,2073,23,Tacna,127
36,0.5,Pacific,36,Quebrada Los Molles,99.71,99.71,23,Tacna,4175,23,Tacna,124
55,0.5,Pacific,55,Quebrada Viñani,75.67,75.67,23,Tacna,4308,23,Tacna,115
57,0.5,Pacific,57,Quebrada de Escritos,63.92,63.92,23,Tacna,3664,23,Tacna,28
89,0.5,Pacific,89,Río Caplina,115.31,115.31,23,Tacna,5124,23,Tacna,15
96,0.6,Titicaca,96,Río Caño,48.82,26.81,23,Tacna,4574,Bo,Bolivia,"3,988"
122,0.5,Pacific,122,Río Cinto,75.12,75.12,23,Tacna,4934,23,Tacna,567
163,0.5,Pacific,163,Río Ilabaya,69.61,69.61,23,Tacna,5101,23,Tacna,"1,088"
173,0.5,Pacific,173,Río Jaruma,50.4,50.4,23,Tacna,5099,23,Tacna,"2,760"
186,0.5,Pacific,186,Río Locumba,196.31,196.31,23,Tacna,4814,23,Tacna,14
250,0.5,Pacific,250,Río Sama,171.25,171.25,23,Tacna,5105,23,Tacna,6
289,0.6,Titicaca,289,Río Uchusuma,66.15,41.82,23,Tacna,5287,Bo,Bolivia,"3,994"
290,0.5,Pacific,290,Río Uchusuma,92.65,92.65,23,Tacna,4299,23,Tacna,16
3,0.5,Pacific,3,Quebrada Bocapán,77.9,77.9,24,Tumbes,1405,24,Tumbes,0
49,0.5,Pacific,49,Quebrada Seca,67.35,67.35,24,Tumbes,1123,24,Tumbes,3
14,0.4,Amazonas,14,Quebrada Genepanshea,184.84,184.84,25,Ucayali,365,25,Ucayali,162
67,0.4,Amazonas,67,Río Aguaytia,371.84,371.84,25,Ucayali,1176,16,Loreto,137
72,0.4,Amazonas,72,Río Amonea,188.94,116.63,25,Ucayali,352,Br,Brasil,215
125,0.4,Amazonas,125,Río Cohengua,183.9,183.9,25,Ucayali,436,25,Ucayali,191
136,0.4,Amazonas,136,Río Curanja,316.19,316.19,25,Ucayali,485,25,Ucayali,237
138,0.4,Amazonas,138,Río Curiuja,157.71,157.71,25,Ucayali,481,25,Ucayali,325
142,0.4,Amazonas,142,Río Embira,849.59,152.61,25,Ucayali,465,Br,Brasil,113
168,0.4,Amazonas,168,Río Inuya,251.13,251.13,25,Ucayali,467,25,Ucayali,219
199,0.4,Amazonas,199,Río Mishahua,217.48,217.48,25,Ucayali,629,25,Ucayali,288
238,0.4,Amazonas,238,Río Purús,3361.02,597.22,25,Ucayali,498,Br,Brasil,11
272,0.4,Amazonas,272,Río Tahuanía,187.96,187.96,25,Ucayali,392,25,Ucayali,179
274,0.4,Amazonas,274,Río Tamaya,475.13,475.13,25,Ucayali,365,25,Ucayali,143
293,0.4,Amazonas,293,Río Unine,135.98,135.98,25,Ucayali,1644,25,Ucayali,209
314,0.4,Amazonas,314,Río Yuruá,2682.29,250.76,25,Ucayali,377,Br,Brasil,36
107,0.4,Amazonas,107,Río Chicha (Soras),112.5,112.5,3,Apurímac,4466,5,Ayacucho,"2,140"
214,0.4,Amazonas,214,Río Pachachaca,218.68,218.68,3,Apurímac,4524,8,Cusco,"1,057"
