index,year,region_id,region,activity_temperature_id,annual_celsius,activity_humidity_id,annual_avg,activity_rain_id,annual_mlm
166,2018,16,Loreto,1,27.20833333,2,89.5,3,2994.5
167,2018,17,Madre de Dios,1,26.225,2,92.775,3,2424.5
168,2018,18,Moquegua,1,20.075,2,73.55,3,5.6
169,2018,19,Pasco,1,5.166666667,2,82.26666667,3,1159.1
170,2018,20,Piura,1,24.95,2,74.44166667,3,12.4
171,2018,21,Puno,1,10.39166667,2,61.575,3,684.9
172,2018,22,San Martin,1,22.75,2,83.69166667,3,1488.9
173,2018,23,Tacna,1,18.475,2,83.4,3,14.5
174,2018,24,Tumbes,1,25.95833333,2,81.5,3,171.2
175,2018,25,Ucayali,1,25.54166667,2,87.71666667,3,1691.3
176,2019,1,Amazonas,1,15.01666667,2,80.83333333,3,1074.3
177,2019,2,Ancash,1,12.45,2,67.89166667,3,962.4
178,2019,3,Apurimac,1,14.55,2,76.44166667,3,1197.2
179,2019,4,Arequipa,1,16.95833333,2,53.56666667,3,93.6
180,2019,5,Ayacucho,1,16.98,2,68.15,3,535.9
181,2019,6,Cajamarca,1,14.95833333,2,65.80833333,3,813.9
182,2019,7,Callao,1,0,2,0,3,0
183,2019,8,Cusco,1,12.89166667,2,72.44166667,3,838.1
184,2019,9,Huancavelica,1,10.73333333,2,86.15,3,1079.5
185,2019,10,Huanuco,1,20.44166667,2,66.64166667,3,566.1
186,2019,11,Ica,1,22.11666667,2,69.69166667,3,11.9
187,2019,12,Junin,1,12.34545455,2,59.11818182,3,704.4
188,2019,13,La Libertad,1,20.61666667,2,85.88333333,3,22.2
189,2019,14,Lambayeque,1,21.45,2,80.98333333,3,27.8
190,2019,15,Lima,1,19.575,2,87.95,3,26.4
191,2019,16,Loreto,1,27.35,2,87.2,3,2964.9
192,2019,17,Madre de Dios,1,26.625,2,91.35,3,2008.4
193,2019,18,Moquegua,1,20.025,2,73.625,3,54.5
194,2019,19,Pasco,1,5.458333333,2,81.175,3,1632.5
195,2019,20,Piura,1,25.38333333,2,74.275,3,58.6
196,2019,21,Puno,1,10.71666667,2,62.13333333,3,588.3
197,2019,22,San Martin,1,22.95,2,83.3,3,1721.8
198,2019,23,Tacna,1,18.21666667,2,79.90833333,3,39.8
199,2019,24,Tumbes,1,26.29166667,2,81.20833333,3,247.3
200,2019,25,Ucayali,1,25.73333333,2,89.08333333,3,2695.7
201,2020,1,Amazonas,1,15.34166667,2,78.925,3,0
202,2020,2,Ancash,1,…,2,a/,3,0
203,2020,3,Apurimac,1,…,2,a/,3,0
204,2020,4,Arequipa,1,…,2,a/,3,0
205,2020,5,Ayacucho,1,18.19,2,66.5,3,0
206,2020,6,Cajamarca,1,15.45555556,2,61.73333333,3,0
207,2020,7,Callao,1,0,2,0,3,0
208,2020,8,Cusco,1,14.01,2,69.9,3,0
209,2020,9,Huancavelica,1,11.07142857,2,85.71428571,3,0
210,2020,10,Huanuco,1,21.07777778,2,64.03333333,3,0
211,2020,11,Ica,1,22.67142857,2,69.7,3,0
212,2020,12,Junin,1,13.25,2,58.775,3,0
213,2020,13,La Libertad,1,20.16666667,2,90.91111111,3,0
214,2020,14,Lambayeque,1,20.81111111,2,80.85555556,3,0
215,2020,15,Lima,1,…,2,a/,3,0
216,2020,16,Loreto,1,27.63333333,2,87.56666667,3,0
217,2020,17,Madre de Dios,1,27.54,2,89.69,3,0
218,2020,18,Moquegua,1,…,2,a/,3,0
219,2020,19,Pasco,1,…,2,a/,3,0
220,2020,20,Piura,1,…,2,a/,3,0
221,2020,21,Puno,1,…,2,a/,3,0
222,2020,22,San Martin,1,…,2,a/,3,0
223,2020,23,Tacna,1,18.82222222,2,79.65555556,3,0
224,2020,24,Tumbes,1,…,2,a/,3,0
225,2020,25,Ucayali,1,…,2,a/,3,0
226,2021,1,Amazonas,1,14.99166667,2,80.43333333,3,885.9
227,2021,2,Ancash,1,11.15982137,2,65.36010199,3,0
228,2021,3,Apurimac,1,13.5793164,2,73.67188654,3,1001
229,2021,4,Arequipa,1,16.24166667,2,51.05,3,31.5
