index,year,region_id,regions,land_farming,land_crops,land_barbecho,land_unused,land_resting
24,2021,20,Piura,373659.290820679,223433.717912638,60653.3456772953,87750.7912859534,1821.43582967038
18,2021,14,Lambayeque,301849.249214662,144851.32418455,70390.6150478234,85280.2316308842,1327.08340476191
22,2021,18,Moquegua,24842.9578948546,11556.9812663107,2606.93067652568,9434.15811081926,1244.88784247036
19,2021,15,Lima,187271.633803479,144472.134889184,13073.0890457606,28564.2805654965,1162.1293030377
15,2021,11,Ica,147466.127935411,94952.2427961462,16075.6573707503,36302.944032251,135.283736263734
47,2022,14,Lambayeque,239970.993610258,150716.173258731,46909.837104402,42278.0654553577,66.9153468803437
44,2022,11,Ica,148957.489064398,91032.1306056774,18498.2423245028,39401.8025384698,25.3136000000003
31,2022,0.1,Costa,1283120.8952154,836417.604676486,192482.551243353,254215.664865026,5.07079646017702
2,2021,0.1,Costa,1336942.01997984,829331.444885513,230010.380453811,277600.199594027,0
4,2021,0.3,Selva,3349279.03919218,2114246.12871897,212489.970685924,1022542.93918873,0
11,2021,7,Callao,0,0,0,0,0
20,2021,16,Loreto,415227.735963183,180323.204949609,36236.6752392978,198667.855705782,0
21,2021,17,Madre de Dios,192947.164343111,101665.704471616,13092.802422313,78188.6575717843,0
26,2021,22,San Martín,927688.174616378,561008.59396327,47905.8455535785,318773.735198768,0
28,2021,24,Tumbes,23817.852705982,17005.4716374049,3980.77879963373,2831.60226894342,0
29,2021,25,Ucayali,332902.326928901,181431.865758124,18166.9956281349,133303.465495062,0
33,2022,0.3,Selva,2897682.91500496,1920215.81624648,206263.147498671,771203.951607431,0
40,2022,7,Callao,0,0,0,0,0
49,2022,16,Loreto,292425.905413181,149837.089069495,30531.6669937848,112057.149349902,0
50,2022,17,Madre de Dios,180111.120147755,104817.870029344,6336.92286312742,68956.32723635,0
55,2022,22,San Martín,805384.074511993,534382.584948212,60845.8570604694,210155.632643544,0
57,2022,24,Tumbes,23046.5851899259,17849.4741779121,1637.26640936021,3559.84460265359,0
58,2022,25,Ucayali,287685.783075009,161947.680278654,24619.1460036228,101118.956836648,0
