continent,continent_id,country,country_id,iso_3,product_name,trade_value
Asia,as,Bahrain,asbhr,bhr,Artichokes,157
Asia,as,Israel,asisr,isr,Artichokes,34049
Asia,as,Lebanon,aslbn,lbn,Artichokes,9069
Asia,as,Palestine,aspse,pse,Artichokes,696
Asia,as,Turkey,astur,tur,Artichokes,37346
Asia,as,Afghanistan,asafg,afg,Grapes,1280812
Asia,as,United Arab Emirates,asare,are,Grapes,230742388
Asia,as,Armenia,asarm,arm,Grapes,1575098
Asia,as,Azerbaijan,asaze,aze,Grapes,7186414
Asia,as,Bangladesh,asbgd,bgd,Grapes,118155235
Asia,as,Bahrain,asbhr,bhr,Grapes,5862242
Asia,as,Brunei,asbrn,brn,Grapes,2516975
Asia,as,Bhutan,asbtn,btn,Grapes,363895
Asia,as,China,aschn,chn,Grapes,700263116
Asia,as,Christmas Island,ascxr,cxr,Grapes,517
Asia,as,Cyprus,ascyp,cyp,Grapes,9644492
Asia,as,Georgia,asgeo,geo,Grapes,3401870
Asia,as,Hong Kong,ashkg,hkg,Grapes,279892518
Asia,as,Indonesia,asidn,idn,Grapes,242323764
Asia,as,India,asind,ind,Grapes,113865526
Asia,as,Iran,asirn,irn,Grapes,4948162
Asia,as,Iraq,asirq,irq,Grapes,15079647
Asia,as,Israel,asisr,isr,Grapes,17771333
Asia,as,Jordan,asjor,jor,Grapes,7568586
Asia,as,Japan,asjpn,jpn,Grapes,191282735
Asia,as,Kazakhstan,askaz,kaz,Grapes,41258751
Asia,as,Kyrgyzstan,askgz,kgz,Grapes,35239501
Asia,as,Cambodia,askhm,khm,Grapes,1886845
Asia,as,South Korea,askor,kor,Grapes,167794460
Asia,as,Kuwait,askwt,kwt,Grapes,20014906
Asia,as,Laos,aslao,lao,Grapes,3339138
Asia,as,Lebanon,aslbn,lbn,Grapes,2212521
Asia,as,Sri Lanka,aslka,lka,Grapes,14831289
Asia,as,Macau,asmac,mac,Grapes,5739873
Asia,as,Maldives,asmdv,mdv,Grapes,2003352
Asia,as,Burma,asmmr,mmr,Grapes,7117152
Asia,as,Mongolia,asmng,mng,Grapes,4068061
Asia,as,Malaysia,asmys,mys,Grapes,106390454
Asia,as,Nepal,asnpl,npl,Grapes,11056031
Asia,as,Oman,asomn,omn,Grapes,37985843
Asia,as,Pakistan,aspak,pak,Grapes,71953435
Asia,as,Philippines,asphl,phl,Grapes,160718000
Asia,as,Palestine,aspse,pse,Grapes,839978
Asia,as,Qatar,asqat,qat,Grapes,54802261
Asia,as,Saudi Arabia,assau,sau,Grapes,94520442
Asia,as,Singapore,assgp,sgp,Grapes,50253715
Asia,as,Syria,assyr,syr,Grapes,1367794
Asia,as,Thailand,astha,tha,Grapes,232116948
Asia,as,Tajikistan,astjk,tjk,Grapes,349465
Asia,as,Turkmenistan,astkm,tkm,Grapes,400336
Asia,as,Timor-Leste,astls,tls,Grapes,311814
Asia,as,Turkey,astur,tur,Grapes,47111431
Asia,as,Uzbekistan,asuzb,uzb,Grapes,849202
Asia,as,Vietnam,asvnm,vnm,Grapes,234538311
Asia,as,Chinese Taipei,asxxb,,Grapes,100250092
Asia,as,Yemen,asyem,yem,Grapes,12208345
Asia,as,Afghanistan,asafg,afg,Mangos,8019542
Asia,as,United Arab Emirates,asare,are,Mangos,95788284
Asia,as,Armenia,asarm,arm,Mangos,317081
Asia,as,Azerbaijan,asaze,aze,Mangos,347550
Asia,as,Bangladesh,asbgd,bgd,Mangos,435652
Asia,as,Bahrain,asbhr,bhr,Mangos,9717938
Asia,as,Brunei,asbrn,brn,Mangos,1333281
Asia,as,Bhutan,asbtn,btn,Mangos,659878
Asia,as,China,aschn,chn,Mangos,794851499
Asia,as,Christmas Island,ascxr,cxr,Mangos,659
Asia,as,Cyprus,ascyp,cyp,Mangos,1361677
Asia,as,Georgia,asgeo,geo,Mangos,594770
Asia,as,Hong Kong,ashkg,hkg,Mangos,88701426
Asia,as,Indonesia,asidn,idn,Mangos,1267520
Asia,as,India,asind,ind,Mangos,560325
Asia,as,Iran,asirn,irn,Mangos,191872
Asia,as,Iraq,asirq,irq,Mangos,2547101
Asia,as,Israel,asisr,isr,Mangos,2131974
Asia,as,Jordan,asjor,jor,Mangos,7228112
Asia,as,Japan,asjpn,jpn,Mangos,32181491
Asia,as,Kazakhstan,askaz,kaz,Mangos,39028529
Asia,as,Kyrgyzstan,askgz,kgz,Mangos,220010
Asia,as,Cambodia,askhm,khm,Mangos,138109
Asia,as,South Korea,askor,kor,Mangos,80066677
Asia,as,Kuwait,askwt,kwt,Mangos,25194282
Asia,as,Laos,aslao,lao,Mangos,4391666
Asia,as,Lebanon,aslbn,lbn,Mangos,1777873
Asia,as,Sri Lanka,aslka,lka,Mangos,104772
Asia,as,Macau,asmac,mac,Mangos,2115638
Asia,as,Maldives,asmdv,mdv,Mangos,5876414
Asia,as,Burma,asmmr,mmr,Mangos,1795889
Asia,as,Mongolia,asmng,mng,Mangos,188137
Asia,as,Malaysia,asmys,mys,Mangos,44968189
Asia,as,Nepal,asnpl,npl,Mangos,6448910
Asia,as,Oman,asomn,omn,Mangos,52314527
Asia,as,Pakistan,aspak,pak,Mangos,5694
Asia,as,Philippines,asphl,phl,Mangos,5165676
Asia,as,North Korea,asprk,prk,Mangos,4964
Asia,as,Palestine,aspse,pse,Mangos,25217081
