index,year,region_id,region,artisan,livestock_fisher_miner_quarry,driver,house_worker,manager_administrator_professional,salesperson,service_worker,worker,total,total_pea_thousands
135,2009,4,Arequipa,12.9651,16.37129,7.18944,2.35083,16.87864,16.42004,15.18069,5.06011,100,597.1
136,2009,5,Ayacucho,5.81615,55.42779,3.05119,1.63084,8.83459,13.2139,6.2856,3.09726,100,316.6
137,2009,6,Cajamarca,9.52455,58.74196,1.64332,2.1984,7.73889,8.39388,5.62714,3.17482,100,816.9
138,2009,7,Callao,14.9481,0.95076,6.38352,3.45308,15.05632,17.01559,23.55745,4.92699,100,468.7
139,2009,8,Cusco,7.7319,44.76394,3.76741,1.48416,8.98831,14.81802,8.85168,4.4573,100,700.4
140,2009,9,Huancavelica,3.50239,69.35349,1.4443,0.95249,5.56853,9.61453,5.0055,2.86298,100,233.3
141,2009,10,Huanuco,6.71307,56.2727,3.69797,1.8174,7.65843,10.59574,8.1484,3.19768,100,422.1
142,2009,11,Ica,13.85125,18.72697,7.9651,1.60954,12.33277,20.72784,14.54074,4.27642,100,367.3
143,2009,12,Junin,10.66525,38.5375,4.87665,1.14759,11.08857,15.60867,11.3955,2.79995,100,642
144,2009,13,La Libertad,12.5691,27.41434,4.22694,2.05086,10.85079,17.99255,16.12723,4.69774,100,864.4
145,2009,14,Lambayeque,11.62539,28.0402,6.99592,3.08673,10.11006,18.91847,13.50043,3.76869,100,604.9
146,2009,15,Lima,13.84719,3.7916,6.65155,5.91498,18.36947,18.50445,19.02768,3.50133,100,4469.3
147,2009,16,Loreto,7.91046,34.47537,5.29166,2.89571,9.29823,17.27666,13.07863,3.72705,100,448.3
148,2009,17,Madre de Dios,6.81505,26.13784,9.67136,0.68426,16.2373,15.56379,15.48368,3.8365,100,66.9
149,2009,18,Moquegua,9.18174,28.85013,6.71127,0.67503,12.07685,13.66327,13.12358,7.87701,100,90.1
150,2009,19,Pasco,5.39819,46.03946,5.09853,1.02738,11.98267,11.69197,11.40339,4.37014,100,148.3
151,2009,20,Piura,10.7845,29.70352,6.92639,3.32055,8.87518,17.64667,14.21481,4.21625,100,848.8
152,2009,21,Puno,8.80337,48.68558,5.64895,1.14128,8.16399,14.14182,6.54388,4.58298,100,735.7
153,2009,22,San Martin,6.13618,47.77699,5.72832,2.15096,8.85694,12.40543,9.49961,3.64027,100,390.3
